Top candidates (right after adjective, likely head noun):
parag,329
radiador,138
rh,126
cambiado,124
lh,103
persiana,86
inf,67
electrico,61
bocel,55
sup,54
motor,41
tapa,38
exterior,37
ant,32
identificacion,31
clip,30
izq,26
post,25
seccion,25
soporte,24
compuerta,21
parachoqu,20
interior,20
cromado,20
del,19
rejilla,19
cabina,19
de,18
vidrio,17
extension,17
capo,16
tot,16
platon,15
guia,15
calcom,15
refuerzo,14
farola,13
base,13
graduacion,13
complemento,12
exploradora,11
careta,11
plumilla,11
interno,10
der,10
lavavidrio,10
broch,10
c,10
capoa,10
babero,9
protector,9
cierre,9
deflector,8
d,8
absorb,8
piso,7
emblema,7
metalico,7
inferi,6
exhosto,6
central,6
rodamiento,6
estribo,6
4x4,6
x2,5
r,5
l,5
panel,5
bigote,5
parte,5
intern,4
tra,4
i,4
darech,4
izqu,4
abatible,4
cableado,4
plast,4
marco,4
rin,4
direccional,4
empaque,4
cinta,4
cubierta,4
sellomatic,4
sensor,4
bandeja,4
plastica,4
ref,4
pin,3
ciguen,3
x,3
tornillo,3
guardapolvo,3
8,3
puert,3
deposito,3
barra,3
bisel,3
ramal,3
esquinero,3
brazo,3
moldura,3
triangulo,3
cromada,3
stop,3
retenedor,3
texturizado,3
luna,3
3m,3
policia,2
fue,2
silla,2
semieje,2
1ra,2
pacha,2
media,2
camion,2
tapizado,2
caucho,2

Top candidates (left before adjective):
parag,4408
plast,907
guard,741
panoram,490
parachoqu,486
stop,471
costado,467
panel,332
exterior,288
amortiguador,248
espej,219
bocel,149
estribo,137
soporte,118
rin,103
lujo,98
metalico,79
central,78
rodamiento,77
lado,77
inf,71
seguridad,69
reflectivo,68
impacto,67
paral,63
direccion,63
enfocador,57
puente,56
portastop,54
eje,52
del,47
ant,38
post,33
portaplaca,32
empaque,29
lateral,29
reversa,27
pito,26
radiador,22
direccional,20
tope,17
abs,16
plumilla,15
cableado,13
freno,12
grifo,12
paragolpe,11
mataburro,11
capo,11
sup,11
motor,11
muelle,11
estabilizadora,11
alfombra,11
brazo,11
sensor,10
refuerzo,10
vierteagua,9
axial,9
sop,9
farola,9
cromado,8
emblema,8
gancho,8
exosto,8
babero,8
bocallanta,8
deflector,7
tra,7
g,7
parasol,7
golp,7
cortina,7
bomp,6
templete,6
fango,6
placa,6
retrovisor,6
guardapolvo,6
semieje,6
tiro,6
silenciador,6
piso,5
parg,5
spoiler,5
absorb,5
lh,5
caucho,5
cacho,5
aproximacion,5
pirotensor,5
exploradora,4
retenedor,4
pla,4
bocin,4
pan,4
puert,4
mangueta,4
soport,4
bom,3
compuerta,3
vidrio,3
gfango,3
absorv,3
guardab,3
terminal,3
estirage,3
asiento,3
puent,3
bowp,3
insonorizante,3
propulsor,3
marca,3
tapizado,3
embellecedor,3
aire,3
limpiabrisa,2
pte,2
retro,2
cocuyo,2
